Table	Namespace		Field	Namespace	Key	Type	Calculated	Default Value	Related Table	Related Namespace	Corresponding Field	Corresponding Namespace	Record Deleted	Record Table	Record Field
ClosedLoopAuditMapper	AppsTest		AuditID	AppsTest	Y	String	Input						Delete record	Y	Y
ClosedLoopAuditMapper	AppsTest		InterfaceName	AppsTest	Y	Reference	Input		ClosedLoopGenericDetail	AppsTest	ClosedLoopAuditMappers	AppsTest	Delete record	Y	Y
ClosedLoopAuditMapper	AppsTest		From	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopAuditMapper	AppsTest		To	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopGenericDetail	AppsTest		IntegrationGroupID	AppsTest	Y	Reference	Input		ClosedLoopGenericSetup	AppsTest	ClosedLoopGenericDetails	AppsTest	Delete record	Y	Y
ClosedLoopGenericDetail	AppsTest		InterfaceName	AppsTest	Y	String	Input						Delete record	Y	Y
ClosedLoopGenericDetail	AppsTest		AuditTableName	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopGenericDetail	AppsTest		EndPoint	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopGenericDetail	AppsTest		Filter	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopGenericDetail	AppsTest		PageSize	AppsTest	N	Integer	Input	999999999					Delete record	Y	Y
ClosedLoopGenericDetail	AppsTest		siteGroup	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopGenericDetail	AppsTest		StepNum	AppsTest	N	Integer	Input						Delete record	Y	Y
ClosedLoopGenericDetail	AppsTest		Worksheet	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopGenericSetup	AppsTest		ClosedLoopIntegrationGroupID	AppsTest	Y	Integer	Input						Delete record	Y	Y
ClosedLoopGenericSetup	AppsTest		ParentScenario	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopGenericSetup	AppsTest		Workbook	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopItems	AppsTest		Description	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopItems	AppsTest		Item	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopItems	AppsTest		ItemCategory	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopItems	AppsTest		UoM	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopMessage	AppsTest		Attribute0	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopMessage	AppsTest		Attribute1	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopMessage	AppsTest		Attribute2	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopMessage	AppsTest		Attribute3	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopMessage	AppsTest		Attribute4	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopMessage	AppsTest		Attribute5	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopMessage	AppsTest		Attribute6	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopMessage	AppsTest		Attribute7	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopMessage	AppsTest		ERPStatus	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopMessage	AppsTest		MessageID	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopMessage	AppsTest		payload	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopMessage	AppsTest		RecordType	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopMessage	AppsTest		Response	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopMessage	AppsTest		TimeSent	AppsTest	N	DateTime	Input						Delete record	Y	Y
ClosedLoopOrders	AppsTest		OrderID	AppsTest	Y	String	Input						Delete record	Y	Y
ClosedLoopOrders	AppsTest		Item	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopOrders	AppsTest		ItemCategory	AppsTest	N	String	Input						Delete record	Y	Y
ClosedLoopOrders	AppsTest		OrderLineID	AppsTest	N	Integer	Input						Delete record	Y	Y
ClosedLoopOrders	AppsTest		OrderType	AppsTest	N	String	Input						Delete record	Y	Y
