Table	Namespace	Type	Keyed	Historical	Vector	Delete Records	Record Creation	in Worksheets	Identification Fields	Present	List
ClosedLoopAuditMapper	AppsTest	Input	Y	N	N	Y	Y	N	AppsTest::AuditID	Y
ClosedLoopGenericDetail	AppsTest	Input	Y	N	N	Y	Y	N	AppsTest::IntegrationGroupID,AppsTest::StepNum	Y
ClosedLoopGenericSetup	AppsTest	Input	Y	N	N	Y	Y	N	AppsTest::ClosedLoopIntegrationGroupID	Y
ClosedLoopItems	AppsTest	Input	N	N	N	Y	Y	N		Y
ClosedLoopMessage	AppsTest	Input	N	N	N	Y	Y	N		Y
ClosedLoopOrders	AppsTest	Input	Y	N	N	Y	Y	N	AppsTest::OrderID	Y
Exemplar	AppsTest	Input	Y	N	N	Y	Y	N	AppsTest::KeyBoolean,AppsTest::KeyDate,AppsTest::KeyDateTime,AppsTest::KeyInteger,AppsTest::KeyString,AppsTest::KeyTime	Y
Exemplar_InputNote	AppsTest	Input	N	N	N	Y	N	N	Exemplar,UserId,Timestamp	Y
Exemplar_LicensedInputNote	AppsTest	Input	N	N	N	Y	N	N	Exemplar,UserId,Timestamp	Y
Exemplar_MissingInputNote	AppsTest	Input	N	N	N	Y	N	N	Exemplar,UserId,Timestamp	Y
Licensed	AppsTest	Input	Y	N	N	Y	Y	N	AppsTest::KeyBoolean,AppsTest::KeyDate,AppsTest::KeyDateTime,AppsTest::KeyInteger,AppsTest::KeyString,AppsTest::KeyTime	N	LicenseAppsTest
Licensed_InputNote	AppsTest	Input	N	N	N	Y	N	N	Licensed,UserId,Timestamp	N	LicenseAppsTest
Licensed_MissingInputNote	AppsTest	Input	N	N	N	Y	N	N	Licensed,UserId,Timestamp	N	LicenseAppsTest
LicensedVector	AppsTest	Input	Y	N	Y	Y	Y	N	AppsTest::ReferenceToBase,AppsTest::VectorKey	N	LicenseAppsTest
LicensedVectorBase	AppsTest	Input	Y	N	N	Y	Y	N	AppsTest::BaseKey	N	LicenseAppsTest
MissingVector	AppsTest	Input	Y	N	Y	Y	Y	N	AppsTest::ReferenceToBase,AppsTest::VectorKey	N	LicenseNeverExists
MissingVectorBase	AppsTest	Input	Y	N	N	Y	Y	N	AppsTest::BaseKey	N	LicenseNeverExists
NeverLicensed	AppsTest	Input	Y	N	N	Y	Y	N	AppsTest::KeyBoolean,AppsTest::KeyDate,AppsTest::KeyDateTime,AppsTest::KeyInteger,AppsTest::KeyString,AppsTest::KeyTime	N	LicenseNeverExists
NeverLicensed_InputNote	AppsTest	Input	N	N	N	Y	N	N	NeverLicensed,UserId,Timestamp	N	LicenseNeverExists
Normal	AppsTest	Input	Y	N	N	Y	Y	N	AppsTest::KeyString	Y
NormalPartCompatible	AppsTest	Input	Y	N	N	Y	Y	N	AppsTest::PartCompatibleKey	Y
NormalSiteCompatible	AppsTest	Input	Y	N	N	Y	Y	N	AppsTest::SiteCompatibleKey	Y
NormalVector	AppsTest	Input	Y	N	Y	Y	Y	N	AppsTest::ReferenceToBase,AppsTest::VectorKey	Y
NormalVectorBase	AppsTest	Input	Y	N	N	Y	Y	N	AppsTest::BaseKey	Y
RRP149342	AppsTest	Input	N	N	N	Y	Y	N		Y
NormalNoDependents	AppsTestDep	Input	Y	N	N	Y	Y	N	AppsTestDep::KeyString	Y
AttributeMap	Core	Input	Y	N	N	Y	N	N		Y
AttributeMapType	Core	Input	Y	N	N	Y	N	N		Y
Calendar	Core	Input	Y	N	N	Y	N	Y		Y
CalendarDate	Core	Input	N	N	N	Y	N	N	Calendar,Value	Y
ControlSet	Core	Input	Y	N	N	Y	N	Y		Y
